claim_id,status,scope,claim,source_or_proof,theorem_page,dependencies,notes
LIT-025,[UNVERIFIED],literature novelty search,"No located publication states the binary candidate or gives the repository's order-3^5 counterexample.","Exact-expression and alternate-terminology search through 2026-08-13","source_audit.md","Negative searches are index-bounded.","No global novelty claim authorized."
LIT-026,[PROVED],groups with finite nu,"For every noncentral x, nu(C_G(x))<=nu(G)-2.","Repository proof: notes/candidate_bound.md","Lemma CB.2","Modify a clique in C_G(x) and adjoin y,xy for a noncommuting y.","Literature search found no earlier matching lemma."
LIT-027,[PROVED],all n>=3,"h(n)<=n h(n-2), hence h(2r+1)<=(2r+1)!! and h(2r)<=2^(r-1)r!.","Repository proof: notes/candidate_bound.md","Corollary CB.3","Cover by centralizers of a maximum noncommuting set; use LIT-026 and h(1)=h(2)=1.","Repository-new relative to located corpus, not a global novelty claim."
LIT-028,[PROVED],"symplectic projective spaces","pi(q,m) equals the maximum size of a partial ovoid of W(2m-1,q).","Self-contained translation in literature/review.md","section 'Finite-geometry translation'","Two projective points are collinear in W exactly when their representatives are orthogonal; isotropic lines extend to generators.","Bamberg--Bishnoi--Ihringer--Ravi p. 4 independently states pairwise nonorthogonality."
LIT-029,[CITED-VERIFIED],"odd q, rank m=2","2q+1 <= pi(q,2) <= q^2-q+1.","Cimrakova--De Winter--Fack--Storme (2007); De Beule--Klein--Metsch--Storme (2008); Klein--Metsch (2005) plus correction (2010)","Remark 2.11(2) and section 4.1, manuscript pp. 5,8; DKMS manuscript p. 8; Theorem 3.3, manuscript p. 8; correction p. 237","Duality between W(3,q) partial ovoids and Q(4,q) partial spreads; odd-q nonexistence of a spread.","The 2010 correction must accompany the 2005 proof citation."
LIT-030,[CITED-VERIFIED],"rank m=2, q=3,5,7","pi(3,2)=7, pi(5,2)=18, and pi(7,2)=33.","Cimrakova--De Winter--Fack--Storme (2007)","section 4.1 and Table 1, author manuscript pp. 8--9","The paper reports exhaustive complete spectra through q=5 and exhaustive largest-value checks for q=5,7.","External program/certificates are not in the repository, so q=5,7 are not [COMPUTED] here; q=3 also follows theoretically from LIT-029."
LIT-031,[CITED-VERIFIED],"repository S(3,2) clique ingredient","The seven-point configuration is a previously known maximum partial ovoid of W(3,3).","Klein--Metsch bounds; Cimrakova et al. computation","LIT-029 and LIT-030","Translation LIT-028.","This does not show that the combined group invariant (nu,a)=(7,10) was previously known."
LIT-032,[CITED-VERIFIED],"all q and m>=3","pi(q,m) <= 2+(q-1)pi(q,m-1).","De Beule--Klein--Metsch--Storme (2008)","Theorem 3.2 and proof, author manuscript pp. 8--9","Quotient by a point on the secant through two ovoid points.","Iterates to the displayed geometric-series bound in literature/review.md."
LIT-033,[CITED-VERIFIED],"rank m=3","pi(q,3) <= 1+q/2(sqrt(5q^4+6q^3+7q^2+6q+1)-q^2-q-1).","De Beule--Klein--Metsch--Storme (2008)","Theorem 6.1 and proof, author manuscript pp. 18--19","Double counting free planes and quotient W(3,q) sections.","Corollary 6.3 propagates this base to higher ranks."
LIT-034,[CITED-VERIFIED],"q=p^e, all ranks","pi(q,m) <= binom(p+2m-2,p-1)^e+1.","Blokhuis--Moorhouse (1995)","Theorems 1.1 and 1.6, printed pp. 296--297; Proposition 4.1, printed p. 316","A cap indexes an identity principal submatrix of the point-hyperplane incidence matrix of PG(2m-1,q).","Primary proof and projective-dimension indexing checked visually."
LIT-035,[CITED-VERIFIED],"binary symplectic spaces","pi(2,m)=2m+1.","Ishik (2005); Blokhuis--Moorhouse (1995)","Ishik Theorem 12, pp. 6--7; Blokhuis--Moorhouse Theorem 1.6","Explicit symplectic construction plus p-rank upper bound.","Ishik is an accessible unpublished manuscript."
LIT-036,[PROVED],"all finite fields and m>=1","pi(q,m)>=2m+1.","Self-contained alternating-Gram construction in literature/review.md","section 'Higher-rank bounds and constructions'","The (2m+1)-by-(2m+1) matrix with entries sign(j-i) has one-dimensional radical; quotient gives 2m+1 pairwise nonorthogonal points.","No literature priority claim is made."
LIT-037,[CITED-VERIFIED],"odd-square q in rank 2; q=3 in rank 3","For odd-square q not divisible by 3 there is a W(3,q) partial ovoid of size (q^(3/2)+3q-q^(1/2)+3)/3; the same paper reports pi(3,3)=13 by Magma.","Ceria--De Beule--Pavese--Smaldore (2023)","Theorem 3.3, manuscript p. 7; Remark 3.13, manuscript p. 12","Orbit construction for the first claim; external Magma computation for the second.","The reported pi(3,3) is not [COMPUTED] in this repository."
LIT-038,[PROVED],"scalar-symplectic efficiency","The verified bounds give the efficiency interval in review.md; E(2,m) tends to log(2)/2, while E(q,2) tends to 0 through odd q.","Algebraic deductions from LIT-029, LIT-034, LIT-035, LIT-036","section 'Consequences for the scalar-symplectic efficiency'","E(q,m)=log(q^m+1)/pi(q,m).","Natural logarithms used; exact small-q numerical values recorded."
LIT-039,[UNVERIFIED],"literature novelty search","No located source gives the combined order-3^5 group invariant (nu,a)=(7,10), although its pi(3,2)=7 clique component is known in finite geometry.","Exact and alternate terminology searches through 2026-08-13","audit/source_audit.md","Searches included S(3,2), Heisenberg/extraspecial groups, partial ovoids, symplectic cliques, noncommuting graphs, and abelian covers.","Index-bounded negative result; no global novelty claim."
LIT-040,[CITED-VERIFIED],"irredundant five-subgroup covers","If D is the intersection of an irredundant five-subgroup cover of G, then [G:D]<=16, and 16 is attained in this cover problem.","Bryce--Fedri--Serena (1997)","Theorem 1.2, printed p. 470; proof pp. 475--476","Theorem 1.1 classifies maximal core-free five-covers; the final proof treats nonmaximal covers.","The theorem concerns arbitrary subgroups, not necessarily abelian or centralizers."
LIT-041,[PROVED],"groups with nu(G)=5","[G:Z(G)]<=16.","Repository bridge plus Bryce--Fedri--Serena Theorem 1.2","literature/review.md section 'An exact five-subgroup-cover theorem'","Centralizers of a maximum five-clique form an irredundant cover; Lemma CB.2 forces their intersection to be Z(G); then apply LIT-040.","The source proves f(5)=16 for covers; sharpness of the resulting center-index bound is not asserted."
LIT-042,[CITED-VERIFIED],"even q, rank m=2","pi(q,2)=q^2+1.","De Beule--Klein--Metsch--Storme (2008)","author manuscript p. 8","W(3,q) is isomorphic to Q(4,q) for even q and contains an elliptic-quadric ovoid; q^2+1 is the ovoid-number upper bound.","Together with LIT-029 this makes rank-two efficiency tend to zero through all prime powers."
LIT-043,[PROVED],"all q, rank m=1","pi(q,1)=q+1.","Self-contained symplectic projective-line proof in literature/review.md","section 'Finite-geometry translation'","In dimension two the orthogonal complement of a projective point is the point itself.","All q+1 distinct projective points are pairwise nonorthogonal."
LIT-044,[UNVERIFIED],"finite groups with omega(G)=5","Jafarian Amiri--Rostami (2017) reports that references [17,20] determined all groups with omega(G)=5.","Jafarian Amiri--Rostami (2017); cited Jafarian Amiri--Madadi (2016) and Jafarian Amiri--Madadi--Rostami (2017)","introduction p. 194; publisher preview p. 1; official abstract","Only the reporting introduction and first-page/abstract material were accessible.","Do not promote the alleged omega=5 classification; the separately located four-quotient list is only a report about 6-centralizer groups (LIT-047)."
LIT-045,[UNVERIFIED],"finite groups with omega(G)=5","The alleged classification does not currently establish a(G)=5.","Access audit of the two cited primary papers","literature/review.md section on the omega(G)=5 classification lead","A central quotient does not preserve commutation, and an F-group need not be a CA-group by definition.","The load-bearing conclusion available here is only [G:Z(G)]<=16 from LIT-041."
LIT-046,[CITED-VERIFIED],"finite Q and a Schur covering group S","Q exterior-square Q is isomorphic to S'.","Brown--Johnson--Robertson (1987)","definition p. 181; Proposition 7 p. 182; Corollary 2 pp. 182--183","Corollary 2 assumes H_2(Q) finitely generated, which holds for finite Q.","Complete author-hosted primary article read; DOI 10.1016/0021-8693(87)90248-1."
LIT-047,[CITED-VERIFIED],"finite 6-centralizer groups","Abdollahi--Jafarian Amiri--Mohammadi Hassanabadi report that G/Z(G) is D8, A4, C2^3, or C2^4.","Abdollahi--Jafarian Amiri--Mohammadi Hassanabadi (2007)","introduction, printed p. 44","The sentence attributes the classification to Ashrafi's 2000 papers.","This is a 6-centralizer statement, not a classification of all groups with omega(G)=5; original Ashrafi proofs remain unverified."
LIT-048,[UNVERIFIED],"finite groups with omega(G)=5","The 6-centralizer quotient list does not establish a classification or a(G)=5 for this larger class.","Scope comparison of the 2007 report and the inaccessible 2016/2017 papers","literature/review.md section on the omega(G)=5 classification lead","omega(G)=5 does not by itself supply exactly six centralizers or abelian clique-centralizers.","No load-bearing inference from the four-quotient list is authorized."
LIT-049,[CITED-VERIFIED],"irredundant six-subgroup covers","If D is the intersection of an irredundant six-subgroup cover of G, then [G:D]<=36, and 36 is attained in this cover problem.","Abdollahi--Ataei--Jafarian Amiri--Mohammadi Hassanabadi (2005)","authors' 2004 extended abstract, Theorem D, printed p. 72; official journal abstract","The exact primary theorem statement and proof outline were read.","The complete journal proof remained inaccessible and was not audited line by line."
LIT-050,[PROVED],"groups with nu(G)=6","[G:Z(G)]<=36.","Repository centralizer bridge and exact six-cover proof","notes/exact_h6.md; literature/review.md section 'Six-subgroup covers and the exact value h(6)=6'","Maximum-clique centralizers form an irredundant cover; Lemma CB.2 makes their intersection Z(G); LIT-061 proves f(6)=36.","This center-index step alone is not the coloring theorem; LIT-062 supplies that conclusion."
LIT-051,[UNVERIFIED],"external literature on all groups with nu(G)<=6","No located external classification or perfect-graph theorem directly gives h(6)=6.","Exact and alternate-terminology search through 2026-08-13","audit/source_audit.md section on six-subgroup covers","Located perfect-commuting-graph and prescribed-centralizer papers have narrower hypotheses.","Index-bounded negative literature result only; the repository independently proves h(6)=6 in LIT-062."
LIT-052,[CITED-VERIFIED],"irredundant six-subgroup covers","The exact theorem f(6)=36 is stated in the primary 2004 extended abstract and journal abstract; Alencar gives a proof-audited secondary reconstruction.","Abdollahi et al. (2005); Alencar (2011)","Theorem D p. 72; dissertation Chapter 5 pp. 77--88","BFS Proposition 2.4 and Theorem 1.2; maximal core-free six-cover classification.","The external status is historical/citation evidence. The repository now independently proves the result in LIT-061 and corrects the false S3 x S3 leaf."
LIT-053,[PROVED],"coset-cover intersection lemma","For an irredundant n-coset cover with subgroup intersection D, every intersection of n-r subgroup members has index at most r! over D.","Independent reconstruction in literature/review.md; Alencar Lemma 5.1","dissertation pp. 80--82","Induction on r using a private-point coset and the remaining r covering cosets.","Self-contained repository proof; used in the f(6) reduction."
LIT-054,[PROVED],"maximal irredundant core-free six-covers","Every such cover has [G:D]<=36.","Repository structural reconstruction and finite certificates","notes/exact_h6.md; experiments/logs/f6_maximal_cover.json","Semisimple and |U|=2,3,4,5 branches are exhaustive; two source gaps are repaired; all finite leaves are certified in LIT-060.","Computer-assisted proof. The published/restated classification has the false LIT-058 leaf, so the repository does not import that list."
LIT-055,[PROVED],"irredundant six-subgroup covers, nonmaximal reduction","The proved maximal input plus verified f(5), Greco/Scorza inputs yields f(6)<=36 for every irredundant six-cover.","Independent reconstruction in notes/exact_h6.md and literature/review.md","section 'Proof reconstruction and dependency audit for f(6)=36'","LIT-040, LIT-053, LIT-054, BFS Proposition 2.4.","Together with the exact witness LIT-059 this proves f(6)=36 in LIT-061."
LIT-056,[CITED-VERIFIED],"irredundant seven-subgroup covers","If D is the intersection of an irredundant seven-subgroup cover of G, then [G:D]<=81, and 81 is attained.","Abdollahi--Jafarian Amiri (2007)","Theorem B p. 292; proof pp. 299--300; lower construction pp. 292--293","Theorem A maximal C7 classification; f(6)=36, f(5)=16, Greco/Scorza and the factorial intersection lemma.","Complete author-uploaded published article read. The maximal classification materially uses GAP 4.3 without reproducible logs."
LIT-057,[PROVED],"groups with nu(G)=7","[G:Z(G)]<=81.","Repository bridge plus Abdollahi--Jafarian Amiri Theorem B","literature/review.md section 'The seven-subgroup cover theorem'","Maximum-clique centralizers form an irredundant cover; Lemma CB.2 forces intersection Z(G); then LIT-056.","This does not imply a(G)<=7; repository S(3,2) has (nu,a)=(7,10)."
LIT-058,[DISPROVED],"published maximal irredundant core-free six-cover list","S3 x S3 has a maximal irredundant six-cover with trivial intersection.","Abdollahi et al. (2005) Lemma 4.1(3) p. 3231 as quoted publicly; Ataei (2018) Theorem 1.2(3)","experiments/logs/f6_maximal_cover_groups.tsv; experiments/logs/f6_maximal_cover_gap.stdout.txt","Exact GAP 4.16.0/SmallGrp 1.5.4 enumeration of all 84 six-tuples of the nine maximal subgroups of SmallGroup(36,10).","There are 38 covers but all are redundant; qualifying count is zero. The accessible 2004 extended abstract Theorem C and Alencar Theorem 4.1 omit this false item."
LIT-059,[COMPUTED],"lower bound for the six-cover index","SmallGroup(36,13)=C2 x ((C3^2):C2) has a maximal irredundant six-cover with D=1, so f(6)>=36.","Repository modern-GAP audit; this group is the C2 x G0 item in Alencar Theorem 4.1(5) and Ataei Theorem 1.2(6)","experiments/logs/f6_maximal_cover_groups.tsv; experiments/logs/f6_maximal_cover_gap.stdout.txt","All 5005 six-tuples of its 15 maximal subgroups enumerated; 306 irredundant covers and 72 qualifying covers with intersection 1.","This is the correct order-36 witness; it replaces the false S3 x S3 claim."
LIT-060,[COMPUTED],"finite leaves in the maximal core-free six-cover proof","All finite candidate families left by the structural proof have been exhaustively enumerated with exact cover and intersection tests.","Repository GAP producer and independent multiplication-table verifier","experiments/configs/f6_maximal_cover_audit.g; experiments/logs/f6_maximal_cover_classes.tsv; experiments/logs/f6_maximal_cover_groups.tsv; experiments/logs/f6_maximal_cover.json; src/python/analyze_f6_maximal_cover_audit.py","5257 subgroups in 48 isomorphism types and 5545351 six-subsets checked; positive types and intersection orders recorded in the certificate.","Finite leaves for LIT-054; includes all A5/S5, S3^3 subdirect, S4^2 order-48/96, and order-50/100 branches."
LIT-061,[PROVED],"irredundant six-subgroup covers","f(6)=36.","Repository maximal-case proof, nonmaximal reduction, and exact witness","notes/exact_h6.md","LIT-053; LIT-055; LIT-059; LIT-060.","Computer-assisted repository proof; the historical theorem statement is separately LIT-049/LIT-052."
LIT-062,[PROVED],"groups with nu(G)<=6","h(6)=6.","Repository exterior-square reduction and complete finite scan","notes/exact_h6.md Theorem H6.3; experiments/logs/h6_exterior.json; experiments/logs/h6_c2_5.json","LIT-050/LIT-061 center-index bridge; self-contained C2^5 exclusion; exact verification of all 23527 kernel records; D10 lower witness.","Computer-assisted proof for arbitrary groups, including the exact central-coset graph translation."
LIT-063,[CITED-VERIFIED],"arbitrary groups with finite nu","Isoclinic groups have equal nu, and every arbitrary group with finite nu is isoclinic to a finite group with the same nu.","Zarrin (2016)","Lemma 2.1 and Theorem 1.1, pp. 43--44","Pyber center-by-finite theorem; Hall stem-group theorem; Schur finiteness theorem.","The source states preservation of nu; LIT-068 proves the additional preservation of a from the same commutator-compatible quotient isomorphism."
LIT-064,[CITED-VERIFIED],"arbitrary groups with nu(G)<=20","G is soluble; the threshold is sharp because nu(A5)=21.","Zarrin (2016); Abdollahi--Azad--Mohammadi Hassanabadi--Zarrin (2010)","Zarrin Theorem 1.2 pp. 43--44; 2010 Theorem 1.1 p. 2 and proof pp. 4--9","Zarrin invokes Endimioni (1994); the accessible 2010 paper gives a proof-bearing finite nonsoluble classification through clique number 57.","Applies to nu=7 but supplies no bound a(G)<=10."
LIT-065,[CITED-VERIFIED],"finite nonabelian groups with central quotient p^2 or p^3, p the smallest prime divisor","Such groups are AC; for p^2 the clique number is p+1, and for p^3 it is p^2+(1-delta)p+1.","Darafsheh--Ghorbani--Prajapati (2015)","Theorems 1.2--1.3 p. 381; proofs pp. 387--388; Remark 5.2 p. 388","Centralizer-order count plus the AC centralizer partition, Lemma 2.4 p. 382.","At nu=7 this prunes only the order-eight p-group branch; it is not a full central-quotient classification."
LIT-066,[CITED-VERIFIED],"groups with exactly 7 or 10 element-centralizers","The 7-centralizer quotient list and the conditional 10-centralizer lemma do not classify groups with nu=7.","Zarrin (2016); Jafarian Amiri--Madadi--Rostami (2018)","Zarrin Theorem 3.5(4) p. 45 and inequality 1+nu<=|C(G)| p. 45; 2018 Lemma 3.1","Prescribed centralizer count is an extra hypothesis distinct from clique number.","The 2018 order-16 conclusion assumes both exactly ten centralizers and nu in {5,6,7,8}."
LIT-067,[UNVERIFIED],"all groups with nu(G)=7","No located primary source determines h(7), proves h(7)<=10 directly, or classifies every group with nu=7.","Exact and alternate-terminology search through 2026-08-13","literature/review.md section 'What is known specifically when nu(G)=7'; audit/source_audit.md","Searches separated noncommuting graphs from n-centralizer groups, automorphism-orbit omega, and generating-graph omega/chi.","Index-bounded negative result, not proof of absence; verified universal facts are solvability and [G:Z(G)]<=81, while the repository proves h(7)>=10."
LIT-068,[PROVED],"arbitrary groups with finite nu","The finite isoclinic representative in LIT-063 has the same abelian-cover number a as the original group.","Repository central-coset graph translation plus Zarrin's commutator-compatible isoclinism","literature/review.md section 'What is known specifically when nu(G)=7'","An isoclinism identifies G/Z(G) and K/Z(K) and preserves whether every commutator is trivial; hence the compressed noncommuting graphs are isomorphic and a=chi is preserved.","This reduces the full (nu,a) problem for arbitrary groups to finite groups; it does not itself classify the finite representatives."
